,file_name,C,Db,D,Eb,E,F,F#,G,Ab,A,Bb,B,ground_truth_key,feature_a,feature_b
0,TRAWLGG128F42884CA.h5,0.3308891129032259,0.3096733870967742,0.217858870967742,0.4782439516129032,0.1956391129032257,0.299975806451613,0.17889112903225798,0.2530423387096773,0.5456169354838706,0.21434072580645164,0.414657258064516,0.2168427419354838,8,8,1
1,TRAHQNV12903CECAB0.h5,0.6762100656455146,0.6754157549234138,0.498704595185995,0.49512035010940914,0.4811247264770242,0.48740700218818384,0.48805689277899356,0.5086958424507656,0.5224048140043769,0.526120350109409,0.4510897155361052,0.4414354485776805,1,1,1
2,TRAUVAQ128F92DC677.h5,0.5256132930513595,0.3070634441087614,0.2601283987915407,0.21328851963746231,0.42045770392749204,0.36785196374622364,0.2725271903323262,0.486746223564954,0.23186253776435048,0.2576661631419939,0.16908610271903332,0.27664652567975795,0,0,1
3,TRBDUWE128EF3583EA.h5,0.23920737327188948,0.352625192012289,0.1519400921658987,0.3229324116743469,0.46329493087557583,0.25695545314900126,0.5791674347158215,0.18990322580645155,0.25427496159754237,0.11362672811059923,0.14350844854070677,0.6042718894009215,11,11,1
4,TRAFXCL128F92E7FFD.h5,0.3528832199546486,0.38082312925170075,0.3628514739229028,0.20195691609977337,0.233222222222222,0.16048185941043105,0.24161678004535125,0.37461904761904774,0.24041156462585012,0.30618253968253945,0.22807709750566918,0.28324603174603175,7,7,1
5,TRALSKT128F93549F9.h5,0.16480471380471381,0.33356060606060617,0.2442222222222224,0.15754545454545463,0.3688653198653202,0.15297138047138062,0.2742104377104378,0.13936026936026963,0.20610101010101006,0.3744949494949499,0.13492760942760942,0.34998821548821535,9,9,1
6,TRADUXF128F1498A0A.h5,0.6062818428184276,0.13896205962059632,0.18204336043360436,0.11185094850948513,0.30403252032520317,0.15024119241192424,0.1559728997289973,0.5295636856368564,0.10152303523035229,0.18841192411924115,0.16611382113821144,0.28028997289972923,0,0,1
7,TRACKKI128F930CA83.h5,0.45600896057347656,0.2231702508960574,0.28343727598566354,0.29243548387096774,0.12948207885304674,0.29741756272401443,0.24146594982078848,0.44261290322580654,0.24606451612903227,0.12940860215053754,0.18462365591397864,0.20960215053763448,0,3,0
8,TRANYLR128F4271924.h5,0.5490362941738294,0.4528758357211081,0.4548681948424071,0.2713486150907356,0.35173256924546364,0.29712989493791814,0.3110305635148042,0.5328194842406873,0.2748242597898763,0.4156150907354346,0.2733476599808977,0.30444126074498556,7,7,1
9,TRAQUWF128E07924E4.h5,0.6834319029850752,0.514319962686567,0.3386753731343285,0.3239645522388063,0.3086249999999998,0.3284430970149256,0.30351772388059717,0.3013535447761193,0.3471352611940295,0.3195820895522392,0.400840485074627,0.40248880597014947,10,10,1
10,TRBIHOC12903CE371C.h5,0.6074993865030673,0.5612085889570549,0.4194294478527606,0.3492920245398774,0.37887484662576676,0.34172515337423315,0.3416576687116563,0.4197828220858896,0.3167079754601229,0.33198282208589003,0.28141595092024546,0.3452122699386502,7,7,1
11,TRAXDDY12903C93E27.h5,0.46235932944606456,0.4282368804664719,0.39171501457725955,0.18614577259475173,0.2515604956268218,0.2424241982507291,0.353661078717201,0.6072193877551024,0.21919825072886306,0.1647536443148686,0.14868367346938777,0.24812682215743465,7,7,1
12,TRAGGHA128F4262D55.h5,0.6525056179775277,0.3115196629213482,0.31688342696629235,0.16522752808988744,0.23881179775280906,0.38380477528089896,0.20248735955056163,0.44299719101123664,0.2062570224719101,0.2543651685393262,0.2990491573033709,0.3119002808988769,5,5,1
13,TRBGNGY128F14738B8.h5,0.3482916666666666,0.5915263888888893,0.7692180555555559,0.4162458333333332,0.3919486111111112,0.2680263888888893,0.3654013888888886,0.29941527777777777,0.2894722222222224,0.6234902777777783,0.31023194444444435,0.29380277777777797,2,2,1
14,TRARVMO128F427DF04.h5,0.16604213938411677,0.19303241491085915,0.2940745542949754,0.5514278768233382,0.1416904376012965,0.16699837925445704,0.23787034035656404,0.30064829821717987,0.2999756888168556,0.3000583468395464,0.42062560777957825,0.14351377633711498,3,3,1
15,TRBAMES128F14947D4.h5,0.2529624183006533,0.18813398692810496,0.34006209150326766,0.16912581699346413,0.41329738562091495,0.29177941176470606,0.13331862745098058,0.20129248366013103,0.2445751633986928,0.47451143790849665,0.12226470588235323,0.1888120915032682,9,0,0
16,TRAIHXV128F14A5216.h5,0.4395534136546184,0.29136787148594406,0.28886506024096437,0.26077590361445785,0.42115662650602415,0.3525180722891567,0.2578265060240959,0.38415502008032065,0.26361927710843336,0.37055341365461875,0.3919180722891567,0.33535261044176756,5,5,1
17,TRAGJZP128F424A16F.h5,0.33137713310580225,0.33296928327645037,0.32270307167235485,0.3492508532423205,0.32103242320819053,0.2649607508532422,0.31831569965870365,0.20886518771331078,0.2740938566552901,0.36840784982935154,0.29956996587030704,0.5364556313993175,4,4,1
18,TRAAOEH128F426A82F.h5,0.22360891089108922,0.2573630363036303,0.13930363036303642,0.2835775577557755,0.5118234323432345,0.21260066006600647,0.395816831683168,0.3183564356435645,0.39299669966996703,0.3341303630363037,0.22101155115511525,0.4884537953795382,4,4,1
19,TRBAWWJ128F931318A.h5,0.8711212121212131,0.6898961038961056,0.30954761904761946,0.286846681096681,0.2747817460317452,0.25467784992785014,0.25419805194805173,0.2745988455988456,0.27526911976911955,0.2448210678210673,0.4011230158730156,0.30077849927849887,10,1,0
20,TRACYMH12903CA01DF.h5,0.4032088948787058,0.599698113207547,0.3122722371967655,0.3949932614555256,0.33357547169811336,0.5332587601078166,0.5220566037735851,0.34134501347708873,0.41945283018867907,0.27998517520215654,0.31033692722371925,0.32788948787061994,1,1,1
21,TRAJJYB12903CE5A10.h5,0.57091400757166,0.5007285018929153,0.3960308274743096,0.3623342347214716,0.3202212006489998,0.2710459707950246,0.42120930232558074,0.25412276906435916,0.21015143320713903,0.2312212006489992,0.22476960519199599,0.6471925365062197,11,11,1
22,TRAQFEZ128F92E565D.h5,0.5435811062771911,0.525879428216284,0.3199092604101926,0.3037072715972654,0.319330640149161,0.3910174021131143,0.31442759477936605,0.41206401491609757,0.29043132380360465,0.25303977625854546,0.41472218769422015,0.33131075201988824,5,8,0
